기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,미국,성형외과,28.57
2018,미국,대학/종합병원,32.72
2018,미국,피부과,11.87
2018,미국,치과,13.86
2018,미국,약국,6.87
2018,미국,안과,2.22
2018,미국,한의학과,3.9
2019,미국,성형외과,28.69
2019,미국,대학/종합병원,32.25
2019,미국,피부과,11.16
2019,미국,치과,14.26
2019,미국,약국,7.18
2019,미국,안과,2.2
2019,미국,한의학과,4.27
2020,미국,성형외과,18.08
2020,미국,대학/종합병원,36.35
2020,미국,피부과,9.26
2020,미국,치과,18.82
2020,미국,약국,10.16
2020,미국,안과,2.61
2020,미국,한의학과,4.72
2021,미국,성형외과,17.02
2021,미국,대학/종합병원,38.81
2021,미국,피부과,9.84
2021,미국,치과,18.41
2021,미국,약국,8.38
2021,미국,안과,3.37
2021,미국,한의학과,4.17
2022,미국,성형외과,29.36
2022,미국,대학/종합병원,27.88
2022,미국,피부과,12.24
2022,미국,치과,15.37
2022,미국,약국,7.69
2022,미국,안과,3.82
2022,미국,한의학과,3.64
2023,미국,성형외과,34.96
2023,미국,대학/종합병원,21.79
2023,미국,피부과,15.75
2023,미국,치과,12.89
2023,미국,약국,7.21
2023,미국,안과,4.07
2023,미국,한의학과,3.32
2018,중국,피부과,23.34
2018,중국,성형외과,49.18
2018,중국,대학/종합병원,14.37
2018,중국,약국,5.42
2018,중국,치과,5.7
2018,중국,한의학과,1.04
2018,중국,안과,0.96
2019,중국,피부과,23.3
2019,중국,성형외과,50.39
2019,중국,대학/종합병원,13.13
2019,중국,약국,5.93
2019,중국,치과,5.22
2019,중국,한의학과,1.16
2019,중국,안과,0.86
2020,중국,피부과,12.58
2020,중국,성형외과,26.24
2020,중국,대학/종합병원,16.95
2020,중국,약국,29.92
2020,중국,치과,11
2020,중국,한의학과,2.2
2020,중국,안과,1.11
2021,중국,피부과,12.26
2021,중국,성형외과,15.77
2021,중국,대학/종합병원,34.28
2021,중국,약국,9.95
2021,중국,치과,20.75
2021,중국,한의학과,4.43
2021,중국,안과,2.55
2022,중국,피부과,16.69
2022,중국,성형외과,30.7
2022,중국,대학/종합병원,23.78
2022,중국,약국,10.01
2022,중국,치과,12.06
2022,중국,한의학과,3.72
2022,중국,안과,3.04
2023,중국,피부과,38.18
2023,중국,성형외과,37.07
2023,중국,대학/종합병원,9.25
2023,중국,약국,7.43
2023,중국,치과,4.99
2023,중국,한의학과,1.69
2023,중국,안과,1.39
2018,일본,성형외과,38.09
2018,일본,피부과,27.08
2018,일본,약국,4.12
2018,일본,한의학과,17.04
2018,일본,치과,5.22
2018,일본,대학/종합병원,8.21
2018,일본,안과,0.25
2019,일본,성형외과,46.69
2019,일본,피부과,24.57
2019,일본,약국,3.66
2019,일본,한의학과,15.29
2019,일본,치과,4.24
2019,일본,대학/종합병원,5.21
2019,일본,안과,0.34
2020,일본,성형외과,43.12
2020,일본,피부과,14.35
2020,일본,약국,6.05
2020,일본,한의학과,20.33
2020,일본,치과,7.4
2020,일본,대학/종합병원,8.3
2020,일본,안과,0.46
2021,일본,성형외과,18.53
2021,일본,피부과,6.91
2021,일본,약국,7.3
2021,일본,한의학과,26.29
2021,일본,치과,15.56
2021,일본,대학/종합병원,24.54
2021,일본,안과,0.87
2022,일본,성형외과,57.57
2022,일본,피부과,8.41
2022,일본,약국,5.59
2022,일본,한의학과,10.05
2022,일본,치과,8.93
2022,일본,대학/종합병원,8.82
2022,일본,안과,0.63
2023,일본,성형외과,59.74
2023,일본,피부과,23.89
2023,일본,약국,4.87
2023,일본,한의학과,4.6
2023,일본,치과,3.79
2023,일본,대학/종합병원,2.8
2023,일본,안과,0.31
2018,태국,성형외과,84.81
2018,태국,피부과,4.96
2018,태국,대학/종합병원,5.25
2018,태국,약국,2.47
2018,태국,치과,1.56
2018,태국,한의학과,0.54
2018,태국,안과,0.4
2019,태국,성형외과,88.7
2019,태국,피부과,2.96
2019,태국,대학/종합병원,3.51
2019,태국,약국,3.07
2019,태국,치과,1.3
2019,태국,한의학과,0.33
2019,태국,안과,0.14
2020,태국,성형외과,75.01
2020,태국,피부과,4.29
2020,태국,대학/종합병원,7.94
2020,태국,약국,6.08
2020,태국,치과,4.64
2020,태국,한의학과,1.3
2020,태국,안과,0.74
2021,태국,성형외과,33.79
2021,태국,피부과,7.15
2021,태국,대학/종합병원,27.7
2021,태국,약국,10.21
2021,태국,치과,17.98
2021,태국,한의학과,1.87
2021,태국,안과,1.3
2022,태국,성형외과,86.32
2022,태국,피부과,5.74
2022,태국,대학/종합병원,2.69
2022,태국,약국,2.56
2022,태국,치과,2.22
2022,태국,한의학과,0.27
2022,태국,안과,0.2
2023,태국,성형외과,77.88
2023,태국,피부과,15.76
2023,태국,대학/종합병원,2.53
2023,태국,약국,2.12
2023,태국,치과,1.26
2023,태국,한의학과,0.23
2023,태국,안과,0.21
