기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,미국,약국,47.17
2018,미국,대학/종합병원,26.37
2018,미국,치과,9.67
2018,미국,피부과,6.45
2018,미국,성형외과,3.47
2018,미국,한의학과,4.97
2018,미국,안과,1.91
2019,미국,약국,48.54
2019,미국,대학/종합병원,24.94
2019,미국,치과,9.34
2019,미국,피부과,6.18
2019,미국,성형외과,3.65
2019,미국,한의학과,5.4
2019,미국,안과,1.95
2020,미국,약국,50.21
2020,미국,대학/종합병원,25.82
2020,미국,치과,9.78
2020,미국,피부과,4.95
2020,미국,성형외과,2.33
2020,미국,한의학과,5.11
2020,미국,안과,1.79
2021,미국,약국,41.05
2021,미국,대학/종합병원,34.75
2021,미국,치과,9.61
2021,미국,피부과,5.2
2021,미국,성형외과,2.47
2021,미국,한의학과,4.88
2021,미국,안과,2.05
2022,미국,약국,51.3
2022,미국,대학/종합병원,22.37
2022,미국,치과,9.15
2022,미국,피부과,6.11
2022,미국,성형외과,3.93
2022,미국,한의학과,4.68
2022,미국,안과,2.47
2023,미국,약국,54.9
2023,미국,대학/종합병원,17.22
2023,미국,치과,8.13
2023,미국,피부과,7.28
2023,미국,성형외과,5.61
2023,미국,한의학과,4.33
2023,미국,안과,2.54
2018,중국,약국,56.27
2018,중국,피부과,11.08
2018,중국,대학/종합병원,14.79
2018,중국,성형외과,11.23
2018,중국,치과,4.31
2018,중국,한의학과,1.46
2018,중국,안과,0.86
2019,중국,약국,57.87
2019,중국,피부과,10.19
2019,중국,대학/종합병원,13.53
2019,중국,성형외과,12.01
2019,중국,치과,4.27
2019,중국,한의학과,1.34
2019,중국,안과,0.79
2020,중국,약국,73.14
2020,중국,피부과,3.73
2020,중국,대학/종합병원,12.36
2020,중국,성형외과,3.97
2020,중국,치과,4.3
2020,중국,한의학과,1.85
2020,중국,안과,0.65
2021,중국,약국,49.48
2021,중국,피부과,6.11
2021,중국,대학/종합병원,26.41
2021,중국,성형외과,3.39
2021,중국,치과,8.73
2021,중국,한의학과,4.44
2021,중국,안과,1.42
2022,중국,약국,59.56
2022,중국,피부과,4.68
2022,중국,대학/종합병원,20.68
2022,중국,성형외과,4.09
2022,중국,치과,6.17
2022,중국,한의학과,3.64
2022,중국,안과,1.18
2023,중국,약국,65.42
2023,중국,피부과,11.24
2023,중국,대학/종합병원,9.35
2023,중국,성형외과,7.16
2023,중국,치과,3.75
2023,중국,한의학과,2.15
2023,중국,안과,0.93
2018,일본,약국,38.95
2018,일본,성형외과,10.66
2018,일본,피부과,21.76
2018,일본,한의학과,13.87
2018,일본,대학/종합병원,10.24
2018,일본,치과,3.93
2018,일본,안과,0.6
2019,일본,약국,40.07
2019,일본,성형외과,15.93
2019,일본,피부과,20.23
2019,일본,한의학과,12.91
2019,일본,대학/종합병원,7.08
2019,일본,치과,3.22
2019,일본,안과,0.56
2020,일본,약국,45.82
2020,일본,성형외과,11.71
2020,일본,피부과,9.51
2020,일본,한의학과,15.99
2020,일본,대학/종합병원,11.2
2020,일본,치과,4.92
2020,일본,안과,0.85
2021,일본,약국,38.39
2021,일본,성형외과,3.85
2021,일본,피부과,4.33
2021,일본,한의학과,12.08
2021,일본,대학/종합병원,32.57
2021,일본,치과,7.61
2021,일본,안과,1.17
2022,일본,약국,48.57
2022,일본,성형외과,12.43
2022,일본,피부과,5.62
2022,일본,한의학과,7.94
2022,일본,대학/종합병원,19.43
2022,일본,치과,5.19
2022,일본,안과,0.83
2023,일본,약국,49.74
2023,일본,성형외과,22.57
2023,일본,피부과,18.24
2023,일본,한의학과,4.1
2023,일본,대학/종합병원,2.87
2023,일본,치과,2.13
2023,일본,안과,0.35
2018,태국,약국,50.6
2018,태국,성형외과,20.05
2018,태국,피부과,9.64
2018,태국,대학/종합병원,13.38
2018,태국,치과,3.88
2018,태국,한의학과,1.45
2018,태국,안과,1
2019,태국,약국,58.84
2019,태국,성형외과,20.84
2019,태국,피부과,5.36
2019,태국,대학/종합병원,9.62
2019,태국,치과,3.23
2019,태국,한의학과,1.44
2019,태국,안과,0.67
2020,태국,약국,62.05
2020,태국,성형외과,11.41
2020,태국,피부과,4.13
2020,태국,대학/종합병원,12.32
2020,태국,치과,7.09
2020,태국,한의학과,2.2
2020,태국,안과,0.8
2021,태국,약국,52.06
2021,태국,성형외과,6.93
2021,태국,피부과,5.67
2021,태국,대학/종합병원,21.22
2021,태국,치과,10.16
2021,태국,한의학과,2.75
2021,태국,안과,1.21
2022,태국,약국,60.46
2022,태국,성형외과,22.14
2022,태국,피부과,6.39
2022,태국,대학/종합병원,7.03
2022,태국,치과,2.64
2022,태국,한의학과,0.68
2022,태국,안과,0.66
2023,태국,약국,56.27
2023,태국,성형외과,21.41
2023,태국,피부과,15.11
2023,태국,대학/종합병원,4.21
2023,태국,치과,1.9
2023,태국,한의학과,0.63
2023,태국,안과,0.46
