기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,대만,약국,61.81
2018,대만,성형외과,8.95
2018,대만,피부과,5.52
2018,대만,대학/종합병원,17.24
2018,대만,치과,4.14
2018,대만,한의학과,1.83
2018,대만,안과,0.52
2019,대만,약국,64.55
2019,대만,성형외과,10.91
2019,대만,피부과,4.23
2019,대만,대학/종합병원,13.27
2019,대만,치과,3.96
2019,대만,한의학과,2.45
2019,대만,안과,0.64
2020,대만,약국,72.97
2020,대만,성형외과,4.65
2020,대만,피부과,2.89
2020,대만,대학/종합병원,10.68
2020,대만,치과,5.36
2020,대만,한의학과,2.59
2020,대만,안과,0.85
2021,대만,약국,42.58
2021,대만,성형외과,2.44
2021,대만,피부과,4.65
2021,대만,대학/종합병원,38.95
2021,대만,치과,6.83
2021,대만,한의학과,3.54
2021,대만,안과,1.02
2022,대만,약국,62.19
2022,대만,성형외과,8.29
2022,대만,피부과,4.89
2022,대만,대학/종합병원,15.92
2022,대만,치과,5.13
2022,대만,한의학과,2.35
2022,대만,안과,1.23
2023,대만,약국,66.51
2023,대만,성형외과,16.17
2023,대만,피부과,9.4
2023,대만,대학/종합병원,4.02
2023,대만,치과,1.63
2023,대만,한의학과,1.41
2023,대만,안과,0.86
