기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,러시아,치과,1.28
2018,러시아,안과,0.50
2018,러시아,약국,28.29
2018,러시아,피부과,0.63
2018,러시아,대학/종합병원,66.99
2018,러시아,성형외과,0.96
2018,러시아,한의학과,1.36
2019,러시아,치과,1.17
2019,러시아,안과,0.70
2019,러시아,약국,31.04
2019,러시아,피부과,0.54
2019,러시아,대학/종합병원,64.25
2019,러시아,성형외과,1.07
2019,러시아,한의학과,1.22
2020,러시아,치과,2.80
2020,러시아,안과,0.70
2020,러시아,약국,37.19
2020,러시아,피부과,0.78
2020,러시아,대학/종합병원,56.38
2020,러시아,성형외과,0.83
2020,러시아,한의학과,1.32
2021,러시아,치과,3.11
2021,러시아,안과,0.52
2021,러시아,약국,40.51
2021,러시아,피부과,1.21
2021,러시아,대학/종합병원,52.66
2021,러시아,성형외과,0.76
2021,러시아,한의학과,1.24
2022,러시아,치과,2.48
2022,러시아,안과,0.67
2022,러시아,약국,35.90
2022,러시아,피부과,0.69
2022,러시아,대학/종합병원,57.27
2022,러시아,성형외과,1.02
2022,러시아,한의학과,1.98
2023,러시아,약국,60.71
2023,러시아,피부과,14.29
2023,러시아,대학/종합병원,10.71
2023,러시아,성형외과,7.14
2023,러시아,한의학과,7.14
