기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,러시아,치과,3.95
2018,러시아,안과,0.33
2018,러시아,성형외과,5.04
2018,러시아,약국,3.22
2018,러시아,피부과,0.85
2018,러시아,대학/종합병원,85.62
2018,러시아,한의학과,0.98
2019,러시아,치과,2.7
2019,러시아,안과,0.62
2019,러시아,성형외과,6.44
2019,러시아,약국,3.29
2019,러시아,피부과,0.84
2019,러시아,대학/종합병원,85.17
2019,러시아,한의학과,0.94
2020,러시아,치과,3.59
2020,러시아,안과,0.64
2020,러시아,성형외과,5.17
2020,러시아,약국,3.01
2020,러시아,피부과,0.51
2020,러시아,대학/종합병원,85.81
2020,러시아,한의학과,1.26
2021,러시아,치과,2.93
2021,러시아,안과,0.11
2021,러시아,성형외과,1.77
2021,러시아,약국,3.15
2021,러시아,피부과,1.06
2021,러시아,대학/종합병원,90.4
2021,러시아,한의학과,0.58
2022,러시아,치과,2.2
2022,러시아,안과,0.19
2022,러시아,성형외과,3.34
2022,러시아,약국,2.31
2022,러시아,피부과,0.18
2022,러시아,대학/종합병원,90.83
2022,러시아,한의학과,0.95
2023,러시아,성형외과,66.4
2023,러시아,약국,13.34
2023,러시아,피부과,10.69
2023,러시아,대학/종합병원,7.52
2023,러시아,한의학과,2.04
