기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,몽골,약국,29.51
2018,몽골,대학/종합병원,62.26
2018,몽골,성형외과,2.02
2018,몽골,안과,0.85
2018,몽골,치과,1.58
2018,몽골,한의학과,2.23
2018,몽골,피부과,1.56
2019,몽골,약국,32.08
2019,몽골,대학/종합병원,58.14
2019,몽골,성형외과,3.50
2019,몽골,안과,1.07
2019,몽골,치과,1.85
2019,몽골,한의학과,2.06
2019,몽골,피부과,1.31
2020,몽골,약국,44.95
2020,몽골,대학/종합병원,45.03
2020,몽골,성형외과,1.99
2020,몽골,안과,0.84
2020,몽골,치과,2.10
2020,몽골,한의학과,3.20
2020,몽골,피부과,1.89
2021,몽골,약국,33.30
2021,몽골,대학/종합병원,59.05
2021,몽골,성형외과,1.92
2021,몽골,안과,1.03
2021,몽골,치과,1.77
2021,몽골,한의학과,1.83
2021,몽골,피부과,1.09
2022,몽골,약국,36.66
2022,몽골,대학/종합병원,53.56
2022,몽골,성형외과,3.31
2022,몽골,안과,1.71
2022,몽골,치과,1.75
2022,몽골,한의학과,1.92
2022,몽골,피부과,1.10
2023,몽골,약국,46.12
2023,몽골,대학/종합병원,41.96
2023,몽골,성형외과,3.95
2023,몽골,안과,3.46
2023,몽골,치과,1.68
2023,몽골,한의학과,1.54
2023,몽골,피부과,1.30
