기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,몽골,대학/종합병원,79.19
2018,몽골,성형외과,9.02
2018,몽골,안과,0.98
2018,몽골,약국,3.47
2018,몽골,피부과,1.82
2018,몽골,한의학과,2.89
2018,몽골,치과,2.62
2019,몽골,대학/종합병원,72.21
2019,몽골,성형외과,15.39
2019,몽골,안과,1.37
2019,몽골,약국,3.73
2019,몽골,피부과,1.46
2019,몽골,한의학과,3.21
2019,몽골,치과,2.62
2020,몽골,대학/종합병원,82.74
2020,몽골,성형외과,9.23
2020,몽골,안과,0.81
2020,몽골,약국,4.24
2020,몽골,피부과,0.63
2020,몽골,한의학과,1.03
2020,몽골,치과,1.31
2021,몽골,대학/종합병원,93.16
2021,몽골,성형외과,3.51
2021,몽골,안과,0.19
2021,몽골,약국,1.87
2021,몽골,피부과,0.07
2021,몽골,한의학과,0.28
2021,몽골,치과,0.91
2022,몽골,대학/종합병원,74.44
2022,몽골,성형외과,11.92
2022,몽골,안과,3.61
2022,몽골,약국,3.46
2022,몽골,피부과,1.35
2022,몽골,한의학과,1.72
2022,몽골,치과,3.49
2023,몽골,대학/종합병원,58.95
2023,몽골,성형외과,18.91
2023,몽골,안과,9.47
2023,몽골,약국,6.26
2023,몽골,피부과,2.35
2023,몽골,한의학과,2.23
2023,몽골,치과,1.83
