기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,베트남,성형외과,60.92
2018,베트남,대학/종합병원,19.33
2018,베트남,약국,11.13
2018,베트남,피부과,4.37
2018,베트남,치과,2.62
2018,베트남,한의학과,1.29
2018,베트남,안과,0.33
2019,베트남,성형외과,48.82
2019,베트남,대학/종합병원,32.9
2019,베트남,약국,10.4
2019,베트남,피부과,4.41
2019,베트남,치과,2.24
2019,베트남,한의학과,0.95
2019,베트남,안과,0.28
2020,베트남,성형외과,19.88
2020,베트남,대학/종합병원,43.62
2020,베트남,약국,16.66
2020,베트남,피부과,8.28
2020,베트남,치과,7.39
2020,베트남,한의학과,2.84
2020,베트남,안과,1.34
2021,베트남,성형외과,11.18
2021,베트남,대학/종합병원,46.02
2021,베트남,약국,13.6
2021,베트남,피부과,9.17
2021,베트남,치과,14.15
2021,베트남,한의학과,4.33
2021,베트남,안과,1.55
2022,베트남,성형외과,46.99
2022,베트남,대학/종합병원,25.51
2022,베트남,약국,11.23
2022,베트남,피부과,5.98
2022,베트남,치과,6.36
2022,베트남,한의학과,1.5
2022,베트남,안과,2.44
2023,베트남,성형외과,54.19
2023,베트남,대학/종합병원,17.43
2023,베트남,약국,13.97
2023,베트남,피부과,6.75
2023,베트남,치과,3.72
2023,베트남,한의학과,2.66
2023,베트남,안과,1.29
