기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,싱가포르,약국,43.14
2018,싱가포르,성형외과,11.66
2018,싱가포르,피부과,10.89
2018,싱가포르,대학/종합병원,21.03
2018,싱가포르,치과,8.21
2018,싱가포르,한의학과,3.53
2018,싱가포르,안과,1.54
2019,싱가포르,약국,48.46
2019,싱가포르,성형외과,10.34
2019,싱가포르,피부과,10.45
2019,싱가포르,대학/종합병원,16.87
2019,싱가포르,치과,8.19
2019,싱가포르,한의학과,3.92
2019,싱가포르,안과,1.77
2020,싱가포르,약국,58.99
2020,싱가포르,성형외과,3.02
2020,싱가포르,피부과,6.49
2020,싱가포르,대학/종합병원,18.22
2020,싱가포르,치과,6.90
2020,싱가포르,한의학과,5.05
2020,싱가포르,안과,1.33
2021,싱가포르,약국,34.58
2021,싱가포르,성형외과,3.26
2021,싱가포르,피부과,5.42
2021,싱가포르,대학/종합병원,44.53
2021,싱가포르,치과,7.34
2021,싱가포르,한의학과,3.31
2021,싱가포르,안과,1.56
2022,싱가포르,약국,55.40
2022,싱가포르,성형외과,10.63
2022,싱가포르,피부과,6.92
2022,싱가포르,대학/종합병원,17.45
2022,싱가포르,치과,5.63
2022,싱가포르,한의학과,2.49
2022,싱가포르,안과,1.47
2023,싱가포르,약국,62.25
2023,싱가포르,성형외과,16.08
2023,싱가포르,피부과,9.27
2023,싱가포르,대학/종합병원,5.80
2023,싱가포르,치과,3.37
2023,싱가포르,한의학과,1.73
2023,싱가포르,안과,1.51
