기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,싱가포르,성형외과,48.73
2018,싱가포르,피부과,17.54
2018,싱가포르,대학/종합병원,19.88
2018,싱가포르,약국,4.21
2018,싱가포르,치과,6.2
2018,싱가포르,안과,1.24
2018,싱가포르,한의학과,2.2
2019,싱가포르,성형외과,51.18
2019,싱가포르,피부과,17.2
2019,싱가포르,대학/종합병원,17.05
2019,싱가포르,약국,4.64
2019,싱가포르,치과,5.86
2019,싱가포르,안과,0.76
2019,싱가포르,한의학과,3.31
2020,싱가포르,성형외과,18.46
2020,싱가포르,피부과,16.01
2020,싱가포르,대학/종합병원,32.79
2020,싱가포르,약국,14.06
2020,싱가포르,치과,11.88
2020,싱가포르,안과,0.64
2020,싱가포르,한의학과,6.17
2021,싱가포르,성형외과,21.93
2021,싱가포르,피부과,15.1
2021,싱가포르,대학/종합병원,39.46
2021,싱가포르,약국,5.28
2021,싱가포르,치과,11.7
2021,싱가포르,안과,3.03
2021,싱가포르,한의학과,3.5
2022,싱가포르,성형외과,55.43
2022,싱가포르,피부과,16.48
2022,싱가포르,대학/종합병원,14.68
2022,싱가포르,약국,4.44
2022,싱가포르,치과,5.97
2022,싱가포르,안과,1.5
2022,싱가포르,한의학과,1.5
2023,싱가포르,성형외과,56.37
2023,싱가포르,피부과,24.51
2023,싱가포르,대학/종합병원,6.15
2023,싱가포르,약국,5.31
2023,싱가포르,치과,3.74
2023,싱가포르,안과,2.8
2023,싱가포르,한의학과,1.12
