기준연월,국가명,KTO카테고리소분류,소비건수비율_전체
2018,카자흐스탄,대학/종합병원,79.11
2018,카자흐스탄,약국,15.20
2018,카자흐스탄,성형외과,1.47
2018,카자흐스탄,한의학과,2.19
2018,카자흐스탄,치과,0.94
2018,카자흐스탄,피부과,0.54
2018,카자흐스탄,안과,0.55
2019,카자흐스탄,대학/종합병원,76.57
2019,카자흐스탄,약국,18.92
2019,카자흐스탄,성형외과,1.10
2019,카자흐스탄,한의학과,1.09
2019,카자흐스탄,치과,1.10
2019,카자흐스탄,피부과,0.53
2019,카자흐스탄,안과,0.69
2020,카자흐스탄,대학/종합병원,68.13
2020,카자흐스탄,약국,26.10
2020,카자흐스탄,성형외과,1.20
2020,카자흐스탄,한의학과,1.86
2020,카자흐스탄,치과,1.75
2020,카자흐스탄,피부과,0.40
2020,카자흐스탄,안과,0.56
2021,카자흐스탄,대학/종합병원,67.21
2021,카자흐스탄,약국,27.49
2021,카자흐스탄,성형외과,0.45
2021,카자흐스탄,한의학과,1.18
2021,카자흐스탄,치과,2.22
2021,카자흐스탄,피부과,0.83
2021,카자흐스탄,안과,0.63
2022,카자흐스탄,대학/종합병원,64.29
2022,카자흐스탄,약국,29.11
2022,카자흐스탄,성형외과,2.24
2022,카자흐스탄,한의학과,1.16
2022,카자흐스탄,치과,1.39
2022,카자흐스탄,피부과,1.11
2022,카자흐스탄,안과,0.71
2023,카자흐스탄,대학/종합병원,57.66
2023,카자흐스탄,약국,35.57
2023,카자흐스탄,성형외과,2.32
2023,카자흐스탄,한의학과,1.83
2023,카자흐스탄,치과,1.06
2023,카자흐스탄,피부과,0.89
2023,카자흐스탄,안과,0.67
