기준연월,국가명,KTO카테고리소분류,소비금액비율_전체
2018,카자흐스탄,대학/종합병원,87.11
2018,카자흐스탄,성형외과,7.09
2018,카자흐스탄,약국,1.73
2018,카자흐스탄,피부과,0.9
2018,카자흐스탄,한의학과,1.17
2018,카자흐스탄,치과,1.6
2018,카자흐스탄,안과,0.4
2019,카자흐스탄,대학/종합병원,90.72
2019,카자흐스탄,성형외과,4.1
2019,카자흐스탄,약국,1.85
2019,카자흐스탄,피부과,1.05
2019,카자흐스탄,한의학과,0.79
2019,카자흐스탄,치과,0.95
2019,카자흐스탄,안과,0.53
2020,카자흐스탄,대학/종합병원,90.71
2020,카자흐스탄,성형외과,4.61
2020,카자흐스탄,약국,1.9
2020,카자흐스탄,피부과,0.12
2020,카자흐스탄,한의학과,1.08
2020,카자흐스탄,치과,1.36
2020,카자흐스탄,안과,0.22
2021,카자흐스탄,대학/종합병원,95.41
2021,카자흐스탄,성형외과,0.9
2021,카자흐스탄,약국,1.34
2021,카자흐스탄,피부과,0.29
2021,카자흐스탄,한의학과,1.12
2021,카자흐스탄,치과,0.63
2021,카자흐스탄,안과,0.32
2022,카자흐스탄,대학/종합병원,80.95
2022,카자흐스탄,성형외과,10.69
2022,카자흐스탄,약국,2.42
2022,카자흐스탄,피부과,1.89
2022,카자흐스탄,한의학과,0.86
2022,카자흐스탄,치과,2.61
2022,카자흐스탄,안과,0.58
2023,카자흐스탄,대학/종합병원,77.92
2023,카자흐스탄,성형외과,13.29
2023,카자흐스탄,약국,3.04
2023,카자흐스탄,피부과,2.0
2023,카자흐스탄,한의학과,1.65
2023,카자흐스탄,치과,1.37
2023,카자흐스탄,안과,0.73
